label,komentar
1,Barang sesuai semua original Tapi di cek pake imei hasilnya oppo f9 Over all bagus sih
1,barangny sudah mendarat ke yg punya.moga barangny bagus dan awet aamiin
0,semua bagus tapi saya kecewa saya mintak warna hitam yg datang warna hijau
1,Barangnya ok punya sempet ragu dengan harga segitu takutnya pas datang hp nya merek lain tapi Alhamdulillah produk sesuai sudah di tes semuanya normal dan bisa digunakan tanpa ada kendala apapun terimakasih seller dan kurirnya cepet banget
1,Pengiriman rapi menggunakan bubble wrap dan kayu
0,Awalnya saya kasih reting bintang 5 tp karna adm ngabaikan chat sy trus Sy jd kesel blom ada titik terang nya buat tanggung jwb Hp nya eror Keluhan sya d abaikan suruh nunggu trus tp blom ada keputusan baiknya tolong sgra bls chat sya mksih
0,Saya ingin mengajukan komplain terlihanjelas dalam foto dan video kalo hp tersebut bukan baru melainkan second Dilayarpun terlihat jelas lemnya kurang rapih di bagian kiri
0,Hp diterima memang dlm keadaan masih segel plastik Dusnya tapi setelah kita cek imei ternyata imei yg terdaftar itu tidak sesuai dengan unit hp yg kita beli setelah di coba pemakaian lebih dr seminggu batre nya masalah Gampang bgd lowbatt Udh chat seller ga dibls
0,Jelek hp nya hp replika
0,Hp nya bukan ori ini mah oppo HDC /kw
0,IMEI bermasalah gak ke scen di hp
1,sampe ke riau dengan selamat barang bagus ga ada masalah mantapss
1,barang bagus ori bossqu
1,mantap lah udah k dua kalinya sy belanja d sini
0,Barang mulus 99% tanpa ada lecet atau baret Kecewa nya saya di LCD ada 1 bintik kecil yang gak keliatan di tema putih Jangan order barang disini Unit yang dikirim tidak ada yang bagus Dan Respon Pemilik Toko Seperti Songong banget
1,sesuai dengan pesanan realpick meski ram g sesuai 6/128 aslinya cuma 4/64
0,dari awal sudah diingatkan periksa sebelum dikirim pesan warna HITAM dikirim warna HIJAU
1,mantap meskipun warna nyh ta sesua ta ap puas barang bagus harga bersahabat seler mantep semoga awet sampe tujuh turunan
0,rielll brang sesuai yng dharapkn sukses trss buat toko dan topedia tenks jg buat kng kurir e
0,batre nya boros
0,Kecewa di SIM card nya dpet sinyal nya 1 kdang ga ada sedangkan hp yg lain sinyal nya dpat bnyak pdahal hp dan type yg sama Di retur eh yg dikirim hp ya sama zoonkkk dah
0,bang kenapa produk gabagus dikirim ke saya ya trs batrenya kenapa ga ngsih penuh harusnya kalo mau dikirim ke org lain dicek dulu jadi nyesel saya sama aja saya buang duit lagi
0,Hp rekondisi hp lowbet baru 1jm pemakaian habis batere bbrp kl chat penjual gaada solusi
1,Barangnya original Warna sesuai pesanan Spesifikasi sesuai Barangnya mulus Berfungsi dengan baik Packaging aman
1,barang datang sesuai pesenan
0,Salah warna harusnya hitam dikirim Hijau Info produk barang baru tapi beberapa bagian ada lecet headset suaranya parah anti gores ada gelembung krn debu charger gak tau ori apa bukan enteng banget Ya untuk harga semurah ini lumayan lah Semoga awet aja
1,hpnya super canggih banyak fitur yang luar biasa
0,Hpnya batre sisa 20 langsung drop Toko dichat berkali kali Tidk ada respon
0,hp nya rusak mudah lowbet masak batray 50% mati sndri dan signal nya susah bener
0,Toko gak jelas alamat dan nomer gak jelas barang tidak orisinil jangan lagi dehh di toko ini penipuan
1,batrenya awet banget 3 hari dipakai masih belum habis
0,Hp kendala di sim card sinyal tidak terbaca Mohon bantuannya agar bisa direturn
0,Parah toko ini HP tidak sesuai yg di kirim barang Rosokan Nipu Hp rusak yg di kirim untuk para pembili di toko ini berhati hatilah janagan sampai jadi korban berikut nya
1,barang bagus dan sesuai dengan deakripsi semuanya lengkap charger handset casing hp mulus
1,Barang bagus sesuai gambar pengiriman cepat sukses buat seller nya dan kurir ramah
1,Kmrn coba bli satu buat ankku dan ternyata bgus sdh cek imei jg sesuai skg mau ambil satu lgi buat d pake sodara mudah mudahan dtngnya sesuai kyk kmrn
0,kondisnya rusak parah sudah pada lecet bungkusannya kurang tebel
1,hpnya sesui dengan deskripsi dan mulus apalagi ramnya yang besar mantap
1,garansinya sesuai
1,Hp nya bagus produk ori ngk ad lecet lgsg berfungsi awalnya sempat ragu tapi luar biasa
0,ada kendala saat nyalakan hp di mainkan tiba tiba mati nyala sendiri Di cas hpnya muncul bintik hitam saat sedang ngecas
1,ramnya sangat besat dan penyimpanan juga besar kualitas oke
0,nyesel banget dapet hp kaya gini cepet panas sama ramnya kecil procesornya lemot
1,aman semuanya lancar kelngkapanya juga fiturnya juga mantap
0,lcdnya retak nggak bisa nyal paraah
0,lednya ada garisnya parah bangetsih
1,processornya kenceng banget main game jadi lancar
1,Barang ori disegel garansi resmi kemasan baik kelengkapan ok pengiriman cepat
1,Barangnya original Ada garansi resmi Kelengkapan sesuai Warna sesuai pesanan Penjualnya ramah banget Packaging aman
1,Barang sesuai dengan deskripsi kualitas sangat baik pengiriman cepat respon penjual baik dan terpercaya recommended seller Salam 4 jempol
1,Senang dan puas bangeet toko amanah barang ori dan di terima dalam keadaan baik dan tersegel kemasan rapi dan aman
0,Barang tidak sesuai dengan apa yang ada di foto pengiriman lama dan reseller kurang ramah
1,Kualitas sesuai dengan harga barang sesuai dengan ekspektasi dll
1,qualitas bagus penjualnya juga responsif
0,gak dapet kesbek males
1,barang original sesuai deskripsi
1,barang sesuai pesanan packing rapi dan pengiriman cepat
0,fast respons barang sesuai packing aman rapi
0,Hp baru nyala gak sampe 5 jam udah mati total Dan ketika tanya sama penjual cuma di suruh bawa ke Xiaomi terdeka Sangat membantu sekali paraaaaah
0,Barangnya cacat apa bisa diganti
0,minta warna bronze malah dikasih orange kok aneh ya di dus box warna bronze tp didalamnya warna orange aduh kacau nih
0,Produk yg datang tidak sesuai saat sampai
0,Kualitas kamera sangat jelek Ini apa barang cacat y
0,Hpnya mati gamau hidup belinya mana paket paylatter selama setahun
1,pengiriman cepat Produk bagus Packing aman Pengemasan cepat
1,Barang asli segel bagus dan ori tidak ada catat sedikitpun
1,Sudah beberapa kali bli hp dan setiap bli selalu hawatir tentang keasliannya
1,Produknya original Hanya saja ada penyok sedikit di bagian kardus luar at all semua nya baik aja alhamdulillah Terimakasih xiaomi
1,Pengiriman cepat sehari sampai Sy ksh bintang 5 krn produknya aman & berfungsi dgn baik Tp invoice pembelian sy blm dpt jg sampai skrg di email Semoga nanti kalau mau klaim garansi ga bermasalah ya
1,Barang tidak lecet bfungsi dgn baik Pengemasan rapih kurir baik ramah Udah kedua kalinya blnja dsni dan sangat memuaskan Pokoknya recommended blnja dsni
1,Barang bagus original seller juga ramah pengiriman cepat joz lah ga nyesel beli d toko inih rekomen bngt Pertahankan terus seller mantab
0,Kotak rempek tpi order gak rapi jadi dia banting
0,Packing tidak aman cuma dilapisi bubble wrap aja dan itupun tipis bgt hanya selapis Untungnya hp gk penyok mudah2an mesin aman gk kebanting
0,Barang original pengiriman aja sangat lama dan packingnya amburadul banget
0,Dus penyok semua. hati hati doank pake duit belinya nih
0,Paket di Terima Untuk pecking pelit banget Bumberwarpnya cuma sehelai didalam boknya Menurut saya ngga aman pecking ya Pelit banget sellernya
0,kak ini hp nya ko mati matian terus yaaa bisa dibalikin lg ga kak apa dituker gtu ini tba2 suka mati sndiri
1,Produk original Berfungsi dengan baik Respon penjual sangat baik Pengiriman cepat
1,Udh ke 2 kali beli HP disini packing aman pengiriman pke sameday Shopee express tp lama juga sampea mlm Dan kali ini ga dpt softcase clear dari xiaomia gak tau apa emang utk tipe HP ini ga dpt atau lupa gak kemasukan dari pabriknya biasanya beli xiaomi selalu dpt krna semua dirmh pake xiaomi
1,Hp nya bagus tidak ada cacat semua berfungsi dgn baik
1,lhamdulilah tidak ada lecet dan semoga awet yaa terima kasihhhhh
1,Barang mulus mendarat dgn aman Alhamdulillah terimakasih seller lancar selalu usaha nya
0,apettt barang cacat atau bug ini hijau2 hijau muluuuuuuu
0,gak kecewa sih bubble wrap nya cuma sehelai gini kalo ada apa apa di jalan gimana Untung sampe dengan selamat
1,Toooop markotooop mantaaaaaaaaaaaaaaaaaaaaaaap
0,Kardusnya penyok padahal saya sudah bayar biaya tambahan untuk pengemasannya
0,Hp nya sdh sampe tapi dicas ga masuk kaka
0,Layar nya ko gtu putih ga ada gambarnya Di chat ga direspon jg gmna dong
0,ketika pas cek unit nya di lcd ada titik putih pas di tengah layar Padahal saya terima barang dalam keadaan utuh masih segel
0,Kecewa katanya dpt softcase ternyata tidak Kenapa ya ngasih informasi nya salah sangat ceroboh
1,Xiaomi Redmi 9C (3/32GB) hpnya sangat bagus berfungsi dengan baik harganya terjangkau respon seller baik pengiriman nya juga mantap keren
1,Alhamdulillah sampai dengan selamat daan tidak ada lecet sedikit pun dan cepat banget sampai kerumah nya senang deh makasih ya
0,Layar terdapat bolong merah Tidak ada aplikasi galeri Kami mengajukan pengembalian namun tidak trima padahal bukti sudah ada semua
0,Gila hape bru ngelek smpe 2x Duh sya minta uang kembali deh atau gnti hp yg baruuu Bnr2 kecewaaaa bgt ya order dsniiii
0,Tidak bisa bikin akun server tidak fungsi
0,Packing asal ga aman solatip sudah terbuka riskan benturan
0,Tdk bisa conek d jaringan wifi Kecewa sungguh kecewa
1,Hp bagus ORI karena emang beli di store nya langsung Kualitas hp oke krna udah di cek seharian Gak ada kurang satu apapun
1,Barangnya ori Dan semua masih tersegel tanpa cacat sedikitpun Sempet ragu akan keamanahannya Dan alhamdulillah bagus terimakasih kak
1,Hp di awal normal spek spek hp nya juga oke semua
1,Produk dan kualitas barang sesuai harga semoga awet
1,sdh sampai lengkap charger jg berfungsi dg baik ibuku sukaa
1,Mantapp terimakasih realme sampe tujuan dengan aman
0,Pengemasan bnr bnr kurang rapi ternyata hp nya cepet panas ya
1,Bagus barangnya pengiriman juga cepet semoga hpnya awet
0,hp ya ko suka mati mati ya udh 2x eror selama pemakaian 2minggu layar ya juga suka kedip kedip gtu ini harus gmna admiin tolong jelaskan
1,produk original new cuma kelengkapan nya ada yg kurang ndak dapet tusukan buat buka sim nya its okey ibu aku suka
0,Ko batrenya rada boros ya Pdhal 5000 MAH pemakaian juga gk tiap jam
1,Alhamdulilah hp nya sudah sampai dan bagus Semoga awet dan bisa bermanfaat Makasih shopee dan realme
0,Kecewa sm produknya yg katanya hp baru tpi yg dateng hp bekas Layarnya banyak goresan casing belakangnya ada bekas gores jg Order warna lake green tpi yg dateng warna merah
0,Barang tidak sesuai apa yg di harapkan yang pesan Gren yg datang red pas di tnya kosong setelah barang di krim tdak konfirmasi terlebih dahulu sbelum dikrim
0,kenapa baru di pakai 5 hari sudah banyak rusaknya ga niat jual hp yah kalau menjual yang jujur dong supaya tidak mengecewakan orang lain HATI HATI
0,Barang diterima tidak sesuai warna pesanan pengiriman lama beli 2 yg satu tidak bisa ngisi battrenya direturn persyaratan ribet jasa kirim pake yg terlama padahal ada batas waktu pengembalian seperti sengaja diatur biar telat sampenya
0,Parah parah kirain bener ram 6/128 taunya yg di kirim 3/32 KETIPU
0,cuman aneh aja sama casannya masa ga masuk
0,Kecewa banget barang sudah rusak ini hp udah di bongkar kalo jualan yang bener dong saya kalo tau hp nya rusak saya mending ajukan pengembalian barang dan dana aja rugi banget saya
1,Paking aman sangat barang sampe dengan selamat
1,Batang manta sesuai pesanan cuma belum di idupin doang poko nya mantap
1,Makasih banyak ka paketnnya sudah sampai pengepakan nya aman sekali suka sekali Barangnya bagus dan baru dijamin mantul
1,Pertama kali Pesan Langsung Pesan Dua soalnya saya yakin Toko ini pasti Amanah ternyata eh teryata Betul Hp Sesuai Pesanan RAM 6GB ROM 128GB Barang kualitas super okoknya Puas Banget deh dengan Toko ini Makasih Kak
1,Menurut aku ini hrga ckup murah dengan kualitas sebagus ini tpi klengkapan cma ada hp sma carger biasa pmbelian hp ada sofcase sma anti gores ini gk ada selebih nya bagus dan recommendet dan penjual juga ramah
1,Alhmdulilah paket mendarat dgn selamat Warna cocok hijau kotak ny putih polos g ada gmbr hp nya Kelengkapan hp dan charger jarum g ada heeadseat ny krtu garansi
1,Alhmdulillah paket nya udah sampe dngn selamat barang nya bagus tpi hp nya
1,Manteb barange mulus smoga awet pngemasan sangat baik gak usah diraguin lagi
0,Hp nya secon kirain baru kaca lcd nya bekas diganti
0,Sangat kecewa lah Kardus sudah d buka dan tdk bersegel Hp pun layaknya setengah pake tidak baru sangatlah kecewa pokoknya
0,Barang tidak sesuai pesanan minta warna hitam datang warna putih hijau charger prosesnya lama
0,Barang tidak berfungsi dengan baik sama sekali tidak hidup
0,Gak bisa di cas Komplen gak di respon Di bawa ke konter taunya batrenya rusak
0,sangat kecewa barang pas mau d pake hp yh mati komlen ke admin susah
0,Kecewa sih karna HP nya kalo telpon tidak ada suaranya
0,chargernya ga bisa digunakan dan kapasitas penyimpanan cepat habis padahal 4/128
0,Slot SIM card kartu tidak ada Minta pengajuan untuk di kirim slot SIM tapi biaya di tanggung pembeli
0,Sebenarnya agak kecewa karena cepat lobett mudahan aman dan bisa awet
1,Manteb barange mulus smoga awet pngemasan sangat baik gak usah diraguin lagi
1,Hp kondisi bagus semua normal tanks seler
1,barang utuh kwalitas bagus sesuai request warna black
1,Warna tidak sesuai pesanan pesen warna lake green yg dtg warna hitam Dan penjual tidak ada konfirmasi
1,Barang bagus original kamera jernih suara oke packing rapi dan aman
1,suara mulus oke layar jernih
1,fast respon layar lcd lebar mantap cocok buat nonton film
0,Kecewa banget sih tergiur harga murah ternyata hp busuk dalemnya udah dibongkar semua mana dateng kamera udah rusak mau retur slow respon banget
0,Nyesel beli hp d sini emg masih segel tapi pas baru beberapa jam d charger malah mati posisi hp Minta pertanggung jawaban ama admin chat wa g di bls GARANSI MASIH BERLAKU 3 BULAN TAPI CHAT G D BLS LEBIH HATIhati BUAT KALIANN
0,Sumpah kecewa bangat sampai langsung di charger dan ternyata eror dan ternyata di buka isi dalam nya second semua baut nya banyak yang hilang jangan sampai ada korban lagi
0,Awal barang datang bagus sesuai pesanan hanya beda warna aja Setelah 2 hari di pakai langsung nge blank n sering restart sendiri. Komunikasi dengan seler n admin nya akhirnya di return Tapi dari tanggal 11 sampai sekarang ga ada kabar apa2
0,Barang diluar bagus kamera dekat blur buka di agen oppo ternyata barang rakitan baud dalem ga kumplit batre ga di lem kecewa berat bwt pembeli mending hati hati dengan toko ini
0,Barang bagus tipi permasalahannya barang tidak di periksa sebelum di kirim dan charger hpnya rusak tidak bisa di gunakan SDH di cas semalaman TDK masuk sdh ditanyakan minta solusi tp di arahkn ke admin dan adminnya TDK bs di hub terima kasih.
1,murah paking rapi kurirnya ramah penjual baik cepat respon terimakasih
1,original Peking rapih pengiriman cepat
1,sesuai pesanan pengiriman cepat produk original masih segel packing aman masih ada bonusnya lagi pokoknya sip dah
1,paket sudah diterima pengiriman cepat produk original kurir jg ramah thanks toped dan sellernya
1,murah paking rapi kurirnya ramah penjual baik cepat respon terimakasih
1,produk sesuai pesanan segel original pengiriman cepat sampai
1,mantap original dan segel terimakasih banyak
1,Barangnya original Kemasan disegel Packaging aman Packaging rapi
1,Barangnya original Ada garansi resmi Proses pesanan cepat Packaging rapi
1,Barangnya original Kemasan disegel Spesifikasi sesuaiAda garansi resmi Kelengkapan sesuai Warna sesuai pesanan Barangnya mulus Berfungsi dengan baik Suara jernih Kamera tajam Baterai awet Penjualnya ramah banget Proses pesanan cepat Packaging aman Packaging rapi Respon penjualnya top
0,Kecewa banget barang sudah rusak ini hp udah di bongkar kalo jualan yang bener dong saya kalo tau hp nya rusak saya mending ajukan pengembalian barang dan dana aja rugi banget saya
1,Paking aman sangattt barang sampe dengan selamat
0,agak kecewa karna pesan warna lake green tp yang datang warna merah tanpa ada konfirmasi
1,Semua oke packing juga oke terkecuali pengirimanya duhg bisa teledor gitu tp ist ok sih gk pp dan agak lecek dikit di anti gores ny so far thank you
0,Sebenarnya agak kecewa karena cepat lobett
1,Hp nya bagus Barang nya oke punya Semoga awet
1,Baraaang Ziiip Bagus Pengiriman Cepat Gak rugi beLanja disini Trimakaih
1,Baguss pengiriman di kasih bubble wrap mantapp
1,Bagus hp nya sesuai dgn gambar dan juga ori GK ada kerusakan apapun di hp dari luar atau dalem Mantep deh
1,Overall bagus barang bersegel dan normal charger bukan ori punya oppo tapi okay lah gpp yang penting HP nya berfungsi dengan baik seller juga fast respon
0,sedikit kecewa karna riject dibagian kabel charger nya
0,Produk nya sesuai pesanan Cuma agak ragu ini hp baru atau second soalnya pas sampe hpnya dlm kondisi nyala. Dan udh di atur tanggal dan waktunya TGnya jg udh banyak goresan di tambah ga dpt softcase transparan yg seperti di video
